"","star","name","address","lat","lng"
"60",4," 上海体育场酒店管理有限公司富豪东亚酒店 ","徐汇区零陵路800号",31.185952101758,121.446489038075
"61",4," 上海光大会展中心有限公司国际大酒店 ","徐汇区漕宝路66号",31.1740847190362,121.435664883375
"62",4,"上海斯波特体育发展有限公司斯波特大酒店","徐汇区南丹路15号",31.1955006448078,121.441940267803
"63",4,"青松城大酒店                                                        ","徐汇区东安路8号",31.204699433643,121.456630509334
"64",4,"上海奥林匹克俱乐部","徐汇区中山南二路1800号",31.1856841850248,121.444821200947
"65",4,"上海嘉汇华美达大酒店有限公司","徐汇区天钥桥路327号",31.1949717805239,121.449989874783
"66",4,"西藏大厦股份有限公司上海西藏大厦万怡酒店","徐汇区虹桥路100号",31.1985789806375,121.441016441434
"67",4,"上海天平宾馆有限公司","徐汇区天平路185号",31.2037734853302,121.445693858936
"68",4,"上海新园雅致酒店经营管理有限公司新园酒店（华美达新园酒店）","徐汇区漕宝路509号",31.1697939810317,121.412440668534
"69",5," 上海锦江汤臣洲际大酒店  ","浦东新区张杨路777号",31.2350681447265,121.528115159138
"70",5," 上海浦东新区香格里拉酒店有限公司  ","浦东新区富城路33号",31.241675142514,121.506291752028
"71",5," 上海金茂君悦大酒店  ","浦东新区世纪大道88号",31.2407529126495,121.512068575102
"72",5," 上海国际会议中心有限公司（东方滨江大酒店） ","浦东新区滨江大道2727号",31.2458136901912,121.503769373936
"73",5," 上海紫金山大酒店  ","浦东新区东方路778号",31.2336643756914,121.530120203986
"74",5," 上海红塔大酒店有限公司（上海红塔豪华精选酒店）   ","浦东东方路889号",31.2297210287973,121.534766963219
"75",5," 上海东锦江希尔顿逸林酒店  ","浦东新区杨高南路889号",31.217169616849,121.540356287475
"76",5," 上海外高桥保宏大酒店有限公司（上海外高桥皇冠假日酒店 ） ","浦东新区杨高北路1000号",31.3453182412429,121.596907602601
"77",5," 上海东郊宾馆  ","浦东新区金科路1800号",31.2320036908445,121.603036583892
"78",5," 上海淳大万丽酒店  ","浦东新区长柳路100号",31.2301720662598,121.559011678272
"79",5," 齐茂（中国）有限公司上海裕景大饭店 ","浦东大道535号",31.246772278551,121.526861352816
"80",5," 上海浦东华油实业有限公司中油阳光大酒店 ","浦东新区东方路969号",31.2283971138382,121.535410310761
"81",5," 上海珀丽酒店投资管理有限公司  （上海世纪皇冠假日酒店） ","浦东新区民生路1433号",31.2297844084501,121.557569306844
"82",5," 上海兴荣温德姆至尊豪廷酒店 ","浦东大道2288号",31.2599428580271,121.56109126002
"83",5,"上海世博土地控股有限公司世博洲际酒店","浦东雪野路1188号",31.2045649649344,121.511759148379
"84",5,"上海新陆一房地产有限公司浦东丽思卡尔顿酒店","浦东新区世纪大道8号",31.2422456965228,121.507668646866
"85",5,"上海浦东星河湾酒店有限公司","浦东新区锦绣路2588号",31.1981788851282,121.544502704014
"86",5,"上海皇廷国际大酒店有限公司","浦东绣川路998号",31.1905505399427,121.713728460392
"87",5,"上海由由国际广场有限公司喜来登由由酒店","浦东浦建路38号",31.2150652266757,121.524516795198
"88",5,"上海柏悦酒店","浦东世纪大道100号79-93楼",31.2405767709598,121.51432799312
"89",5,"上海正地酒店管理有限公司（上海正地豪生大酒店 ）","浦东新区张杨北路5658号",31.3517727098209,121.580809955286
"90",4," 上海中国煤碳大厦有限责任公司浦东假日酒店              ","浦东东方路899号",31.2290523656647,121.535484853051
"91",4," 上海通茂大酒店有限公司 ","浦东新区松林路357号",31.2321831423321,121.541997162862
"92",4," 上海由由大酒店有限公司福朋喜来登由由酒店 ","浦东新区浦东南路2111号",31.215364779419,121.523416970118
"93",4," 上海国际航运大厦有限公司海神诺富特大酒店 ","浦东大道728号",31.2454373658349,121.531234830446
"94",4," 上海民航置业有限公司浦东华美达大酒店 ","浦东新区新金桥路18号",31.2508295653249,121.597341042196
"95",4," 上海山东齐鲁实业总公司齐鲁万怡大酒店 ","浦东东方路838号",31.2319226281782,121.532407889882
"96",4," 上海机场（集团）有限公司浦东机场华美达大酒店 ","浦东启航路1100号",31.1671224249827,121.805682254378
"97",4," 上海宝安大酒店有限公司 ","浦东东方路800号",31.2325265410693,121.530359153252
"98",4,"上海嘉瑞酒店有限公司","浦东新区维坊路328号",31.2289408048157,121.52387338747
"99",4,"上海明城大酒店","浦东崂山路600号",31.2314206577709,121.530750667132
"100",4,"上海临港大酒店有限公司","浦东新区大团镇南芦公路888号",30.970281815671,121.742173304366
"101",4,"上海陆家嘴东怡酒店","浦东新区丁香路555号",31.2300904767641,121.549220348536
"102",4,"上海绿地川沙酒店管理有限公司（浦东绿地铂骊酒店）","浦东新区川沙路5500号",31.1906169641334,121.705877141777
"103",4,"上海新园雅致酒店经营管理有限公司临港豪生大酒店","浦东新区新元南路555号",30.8781048705876,121.826021105633
"104",4,"上海陆家嘴商业建设有限公司丽晟假日酒店","浦东新区环龙路55号",31.2125476127202,121.534916319087
"105",4,"上海莎鸥酒店管理有限公司（莎海国际酒店）","浦东新区惠南镇城南路630号",31.0475979736518,121.770614714117
"106",5,"上海锦江饭店有限公司","黄浦区茂名南路59号",31.2259497623676,121.467498795987
"107",5,"上海锦江国际酒店（集团）股份有限公司新锦江大酒店","黄浦区长乐路161号",31.2269667006291,121.469401059413
"108",5,"花园饭店（上海）","黄浦区茂名南路58号",31.2259969201703,121.466463842039
"109",5,"上海斯格威大酒店有限公司（斯格威铂尔曼大酒店）","黄浦区打浦路15号",31.2101003689358,121.477230337204
"110",5,"上海古象大酒店有限公司","黄浦九江路595号",31.2404006435269,121.486073572847
"111",5,"上海和平饭店有限公司","黄浦区南京东路20号",31.2446388882897,121.495745585155
"112",5," 上海金光外滩置地有限公司威斯汀大饭店 ","黄浦区河南中路88号",31.2381280726437,121.493446539287
"113",5," 上海明天广场有限公司金威万豪酒店  ","黄浦区南京西路399号",31.2365342820501,121.476202717921
"114",5," 上海南新雅大酒店  ","黄浦区九江路700号",31.2402985096391,121.483584565008
"115",5," 上海新世界丽笙大酒店有限公司 ","黄浦区南京西路88号",31.2403858228819,121.479633991646
"116",5,"上海世茂皇家艾美酒店","黄浦区南京东路789号",31.2405582597435,121.482559563131
"117",5,"上海豫园大酒店有限公司豫园万丽酒店","黄浦区河南南路159号",31.2330903530543,121.494374831133
"118",5,"上海大酒店","黄浦区九江路505号",31.2410490229092,121.487950606465
"119",5,"上海外滩半岛酒店有限公司","黄浦区中山东一路32号",31.2465153879988,121.495895662361
"120",5,"上海绿地海珀酒店管理有限公司绿地万豪酒店","黄浦区江滨路99号",31.1976883606742,121.479097590969
