"","landmark","lat","lng","cid"
"1","上海中心",31.2361351290116,121.501851159767,2
"2","静安寺",31.2249673924414,121.4409829853,2
"3","新天地",31.2217620798602,121.470369592568,2
"4","淮海路",31.2205796664792,121.458514926824,2
"5","南京西路梅泰恒",31.231140506391,121.450956460063,2
"6","上海国金中心商场",31.2386239865746,121.496628822723,2
"7","兴业太古汇",31.2327144192095,121.45716542798,2
"8","丰盛里",31.2300022343204,121.454562065029,2
