star,name,address
4, 上海民航置业有限公司浦东华美达大酒店 ,浦东新区新金桥路18号
4, 上海山东齐鲁实业总公司齐鲁万怡大酒店 ,浦东东方路838号
4, 上海机场（集团）有限公司浦东机场华美达大酒店 ,浦东启航路1100号
4, 上海宝安大酒店有限公司 ,浦东东方路800号
4,上海嘉瑞酒店有限公司,浦东新区维坊路328号
4,上海明城大酒店,浦东崂山路600号
4,上海临港大酒店有限公司,浦东新区大团镇南芦公路888号
4,上海陆家嘴东怡酒店,浦东新区丁香路555号
4,上海绿地川沙酒店管理有限公司（浦东绿地铂骊酒店）,浦东新区川沙路5500号
4,上海新园雅致酒店经营管理有限公司临港豪生大酒店,浦东新区新元南路555号
4,上海陆家嘴商业建设有限公司丽晟假日酒店,浦东新区环龙路55号
4,上海莎鸥酒店管理有限公司（莎海国际酒店）,浦东新区惠南镇城南路630号
5,上海锦江饭店有限公司,黄浦区茂名南路59号
5,上海锦江国际酒店（集团）股份有限公司新锦江大酒店,黄浦区长乐路161号
5,花园饭店（上海）,黄浦区茂名南路58号
5,上海斯格威大酒店有限公司（斯格威铂尔曼大酒店）,黄浦区打浦路15号
5,上海古象大酒店有限公司,黄浦九江路595号
5,上海和平饭店有限公司,黄浦区南京东路20号
5, 上海金光外滩置地有限公司威斯汀大饭店 ,黄浦区河南中路88号
5, 上海明天广场有限公司金威万豪酒店  ,黄浦区南京西路399号
5, 上海南新雅大酒店  ,黄浦区九江路700号
5, 上海新世界丽笙大酒店有限公司 ,黄浦区南京西路88号
5,上海世茂皇家艾美酒店,黄浦区南京东路789号
5,上海豫园大酒店有限公司豫园万丽酒店,黄浦区河南南路159号
5,上海大酒店,黄浦区九江路505号
5,上海外滩半岛酒店有限公司,黄浦区中山东一路32号
5,上海绿地海珀酒店管理有限公司绿地万豪酒店,黄浦区江滨路99号
4,城市酒店（上海）,黄浦陕西南路5-7号
4,上海锦江国际饭店有限公司,黄浦区南京西路170号
4,上海海仑宾馆有限公司,黄浦区南京东路505号
4, 上海王宝和大酒店 ,黄浦区九江路555号
4,上海金外滩宾馆有限公司,黄浦区广东路525号
4,上海新协通国际大酒店,黄浦区北京东路398号
4,上海滨江欣景大酒店,黄浦区中山南路36号
5,上海松江开元名都大酒店有限公司,松江区人民北路1799号
5,上海世茂庄园置业有限公司世茂佘山艾美酒店,松江佘山林荫新路1288号
5,上海银湖酒店有限公司佘山索菲特大酒店,松江区泗泾镇泗泾公路3388号
4,上海新晖大酒店有限公司,松江区文诚路765号
4,上海红楼戴斯宾馆有限公司,松江区普照路1号
4,上海迎园饭店有限公司,嘉定区清河路150号
4,上海汽车工业活动中心有限公司（蓝宫大饭店）,嘉定区博乐南路125号
4,上海嘉定宾馆有限公司,嘉定区博乐路100号
