"","brand","lat","lng","address","seat"
"57","Funwork",39.9133551331344,116.406975716065,"北京市东城区王府井东街8号澳门中心B1层",402
"58","Funwork",39.9163898031542,116.44576602815,"北京朝阳区金汇路中骏·世界城D座B1层",751
"59","科技寺",39.9370602391903,116.409570984604,"北京市东城区东四北大街107号科林大厦B座107室",335
"60","科技寺",40.0109671538052,116.468795193642,"北京市朝阳区望京启明国际大厦A座12层",300
"61","科技寺",39.9304682243287,116.450990345407,"北京市朝阳区工体北路4号机电院10号楼2层",400
"62","Distrii办伴",39.9414428680093,116.447679733505,"北京市朝阳区三里屯西五街5号院D座4层",141
"63","Distrii办伴",39.9148789190648,116.486695868244,"北京市朝阳区慈云寺北里210号远洋国际中心二期E座5层",451
"64","Distrii办伴",39.8922780359066,116.470946703696,"北京市朝阳区西大望路15号外企大厦B座7、19-22层",840
"65","Distrii办伴",39.9813173641764,116.301497016936,"北京市海淀区海淀大街27号天使大厦5层",658
"66","时空堂",39.9063934785419,116.439732141157,"CBD长安街宝钢大厦17-18层",500
"67","时空堂",39.89687644343,116.485408187305,"金长安大厦，C座8层",500
"68","时空堂",39.9750000302841,116.49215259929,"电子城研发中心(将台地铁)7层",800
"69","时空堂",39.9301157097175,116.45523332999,"恒安大厦(团结湖地铁)13层",300
"70","时空堂",39.9624706088345,116.441045568593,"三元桥中检大厦，二层",800
"71","时空堂",39.9658370646103,116.467502606478,"霄云路6号，地上三层，地下一层",800
"72","时空堂",39.9223324054322,116.488075811581,"东四环仁和立大厦，二层",60
