Code,Supersector
500,Oil & Gas
1300,Chemicals
1700,Basic Resources
2300,Construction & Materials
2700,Industrial Goods & Services
3300,Automobiles & Parts
3500,Food & Beverage
3700,Personal & Household Goods
4500,Health Care
5300,Retail
5500,Media
5700,Travel & Leisure
6500,Telecommunications
7500,Utilities
8300,Banks
8500,Insurance
8600,Real Estate
8700,Financial Services
9500,Technology
